name,label,medium,device
alert/0000.jpg,alert,digital,stylus
alert/0001.jpg,alert,digital,stylus
alert/0002.jpg,alert,paper,pen
alert/0003.jpg,alert,digital,stylus
alert/0004.jpg,alert,paper,pen
alert/0005.jpg,alert,digital,stylus
alert/0006.jpg,alert,digital,stylus
alert/0007.jpg,alert,paper,pen
alert/0008.jpg,alert,digital,stylus
alert/0009.jpg,alert,paper,pen
alert/0010.jpg,alert,paper,pen
alert/0011.jpg,alert,digital,stylus
alert/0012.jpg,alert,digital,stylus
alert/0013.jpg,alert,digital,stylus
alert/0014.jpg,alert,digital,stylus
alert/0015.jpg,alert,digital,stylus
alert/0016.jpg,alert,digital,stylus
alert/0017.jpg,alert,paper,pen
alert/0018.jpg,alert,digital,stylus
alert/0019.jpg,alert,digital,stylus
alert/0020.jpg,alert,digital,stylus
alert/0021.jpg,alert,digital,stylus
alert/0022.jpg,alert,digital,stylus
alert/0023.jpg,alert,digital,stylus
alert/0024.jpg,alert,digital,stylus
alert/0025.jpg,alert,digital,stylus
alert/0026.jpg,alert,paper,pen
alert/0027.jpg,alert,digital,stylus
alert/0028.jpg,alert,digital,stylus
alert/0029.jpg,alert,digital,stylus
alert/0030.jpg,alert,paper,pen
alert/0031.jpg,alert,paper,pen
alert/0032.jpg,alert,paper,pen
alert/0033.jpg,alert,digital,stylus
alert/0034.jpg,alert,digital,stylus
alert/0035.jpg,alert,digital,stylus
alert/0036.jpg,alert,digital,stylus
alert/0037.jpg,alert,digital,stylus
alert/0038.jpg,alert,digital,stylus
alert/0039.jpg,alert,paper,pencil
alert/0040.jpg,alert,digital,stylus
alert/0041.jpg,alert,digital,stylus
alert/0042.jpg,alert,digital,stylus
alert/0043.jpg,alert,paper,pencil
alert/0044.jpg,alert,digital,stylus
alert/0045.jpg,alert,digital,stylus
alert/0046.jpg,alert,digital,stylus
alert/0047.jpg,alert,digital,stylus
alert/0048.jpg,alert,digital,stylus
alert/0049.jpg,alert,digital,stylus
alert/0050.jpg,alert,paper,pen
alert/0051.jpg,alert,paper,pen
alert/0052.jpg,alert,digital,stylus
alert/0053.jpg,alert,digital,stylus
alert/0054.jpg,alert,digital,stylus
alert/0055.jpg,alert,digital,stylus
alert/0056.jpg,alert,paper,pen
alert/0057.jpg,alert,paper,pen
alert/0058.jpg,alert,digital,stylus
alert/0059.jpg,alert,digital,stylus
alert/0060.jpg,alert,digital,stylus
alert/0061.jpg,alert,paper,pen
alert/0062.jpg,alert,digital,stylus
alert/0063.jpg,alert,digital,stylus
alert/0064.jpg,alert,digital,stylus
alert/0065.jpg,alert,paper,pen
alert/0066.jpg,alert,digital,stylus
alert/0067.jpg,alert,digital,stylus
alert/0068.jpg,alert,paper,pencil
alert/0069.jpg,alert,digital,stylus
alert/0070.jpg,alert,digital,stylus
alert/0071.jpg,alert,digital,stylus
alert/0072.jpg,alert,digital,stylus
alert/0073.jpg,alert,digital,stylus
alert/0074.jpg,alert,paper,pen
alert/0075.jpg,alert,digital,stylus
alert/0076.jpg,alert,paper,pen
alert/0077.jpg,alert,digital,stylus
alert/0078.jpg,alert,digital,stylus
alert/0079.jpg,alert,paper,pen
alert/0080.jpg,alert,digital,stylus
alert/0081.jpg,alert,digital,stylus
alert/0082.jpg,alert,paper,pen
alert/0083.jpg,alert,paper,pen
alert/0084.jpg,alert,digital,stylus
alert/0085.jpg,alert,digital,stylus
alert/0086.jpg,alert,paper,pencil
alert/0087.jpg,alert,digital,stylus
alert/0088.jpg,alert,digital,stylus
alert/0089.jpg,alert,paper,pen
alert/0090.jpg,alert,digital,stylus
alert/0091.jpg,alert,paper,pen
alert/0092.jpg,alert,paper,pen
alert/0093.jpg,alert,paper,pen
alert/0094.jpg,alert,digital,stylus
alert/0095.jpg,alert,digital,stylus
alert/0096.jpg,alert,paper,pencil
alert/0097.jpg,alert,digital,stylus
alert/0098.jpg,alert,digital,stylus
alert/0099.jpg,alert,digital,stylus
alert/0100.jpg,alert,paper,pen
alert/0101.jpg,alert,digital,stylus
alert/0102.jpg,alert,paper,pencil
alert/0103.jpg,alert,paper,pen
alert/0104.jpg,alert,digital,stylus
alert/0105.jpg,alert,digital,stylus
alert/0106.jpg,alert,digital,stylus
alert/0107.jpg,alert,digital,stylus
alert/0108.jpg,alert,digital,stylus
alert/0109.jpg,alert,paper,pen
alert/0110.jpg,alert,digital,stylus
alert/0111.jpg,alert,paper,pen
alert/0112.jpg,alert,digital,stylus
alert/0113.jpg,alert,digital,stylus
alert/0114.jpg,alert,digital,stylus
alert/0115.jpg,alert,digital,stylus
alert/0116.jpg,alert,digital,stylus
alert/0117.jpg,alert,paper,pen
alert/0118.jpg,alert,digital,stylus
alert/0119.jpg,alert,digital,stylus
alert/0120.jpg,alert,paper,pen
alert/0121.jpg,alert,digital,stylus
alert/0122.jpg,alert,digital,stylus
alert/0123.jpg,alert,digital,stylus
alert/0124.jpg,alert,digital,stylus
alert/0125.jpg,alert,digital,stylus
alert/0126.jpg,alert,digital,stylus
alert/0127.jpg,alert,digital,stylus
alert/0128.jpg,alert,digital,stylus
alert/0129.jpg,alert,paper,pen
alert/0130.jpg,alert,digital,stylus
alert/0131.jpg,alert,paper,pen
alert/0132.jpg,alert,digital,stylus
alert/0133.jpg,alert,digital,stylus
alert/0134.jpg,alert,digital,stylus
